Country Name,Year,Foreign Investment,GNI per Capita,Unemployment Rate,Labor Force participation rate,Economic Index
Kuwait,2019,0.2968095721558358,1.2716608765157738e-06,0.057791509940891994,0.7440502999621667,0.16693335105027676
Kyrgyz Republic,2001,0.29631993445890087,4.2961516098505874e-09,0.04970445996775927,0.7351685373016016,0.16672481106073436
Kuwait,2017,0.2964235035144314,1.0915805215362034e-06,0.05714669532509403,0.7413299223521356,0.16647954154711223
Bahrain,2013,0.2998897318037092,9.240306087520305e-07,0.02907039226222461,0.7112796584214603,0.16643128842752244
Kyrgyz Republic,2002,0.29631960385083345,4.6541642440048035e-09,0.05279419666845782,0.7365737654710217,0.16638787647267828
Netherlands,2006,0.6563973844793967,1.6149949926696666e-06,0.13183772165502416,0.6351451168321111,0.1663020249808534
Bahrain,2012,0.29779636706736695,8.774889663119824e-07,0.029554003224073082,0.7119462410146468,0.1662585230093346
Bahrain,2019,0.29721820646488556,9.179443939714089e-07,0.03017195056421279,0.711820130794314,0.16605191566470578
Bahrain,2015,0.29637736151279853,8.406136649940983e-07,0.028479312197743148,0.7078566667267189,0.1655136273639075
Bahrain,2009,0.29656172061978703,6.723477269416169e-07,0.02606125738850081,0.7036409822184587,0.16517245320183377
Iceland,2023,0.29697532946936345,2.872693376453426e-06,0.09183234819989253,0.7689120291134451,0.16511490547633512
Bahrain,2014,0.29777137379915203,9.064879896784739e-07,0.027968833960236434,0.7044336750319778,0.16507055883825833
Kuwait,2016,0.296595165011595,1.2444519163200535e-06,0.055346587855991405,0.7320878447763343,0.16500839011118623
Bahrain,2011,0.2970639112886609,7.117291166985806e-07,0.029822675980655564,0.704775974201452,0.16469740663758373
Bahrain,2023,0.30287382601522855,1.0074475525099627e-06,0.028318108543793657,0.6991910930152953,0.16446248321959944
Kyrgyz Republic,2003,0.2963588072757105,6.444227414775882e-09,0.0554003224073079,0.7279802547426449,0.16415187041675217
Kuwait,2015,0.2965880892100591,1.4918386465206164e-06,0.05642127888232134,0.725241861386852,0.1634236713412353
Iceland,2022,0.29765583266400775,2.6335409368384103e-06,0.0991133799032778,0.7638676203001423,0.16271774811624212
Bahrain,2008,0.2980354439523078,7.486044180164648e-07,0.024556689951638906,0.6862017403210404,0.1621329287713201
Kyrgyz Republic,2004,0.29648338528397217,8.592303219701175e-09,0.05800644814615798,0.7198011061667898,0.1620072744286752
Kyrgyz Republic,2005,0.2963559502730534,1.0382366390472253e-08,0.06077377753895755,0.7216927594717782,0.16181939660505268
Iceland,2014,0.29705041391052606,1.7918532339418492e-06,0.12888232133261687,0.7887113337056585,0.16167173979227792
Netherlands,2011,0.6361773966291164,1.916083617993362e-06,0.13103170338527673,0.6199578431549174,0.16140392565864878
Bahrain,2022,0.2981863130581892,1.007805565144117e-06,0.03293927995701236,0.6907597239987747,0.16138322401695399
Moldova,2023,0.29665766152589534,2.1623963102914624e-07,0.03909188608275121,0.695155565964653,0.16087861024878541
Kyrgyz Republic,2006,0.296489679758877,1.2172429561243332e-08,0.06394411606663084,0.7188282558956528,0.16062580202790688
Moldova,2020,0.2964644572377671,1.5036530634477056e-07,0.029177861364857602,0.6776082295926641,0.1593325945519912
Oman,2018,0.3016858637611882,6.122016044037086e-07,0.045674368619022035,0.6905975822869187,0.15915353521050035
Bahrain,2007,0.297999306043613,6.959765607957952e-07,0.02434175174637292,0.6696272542201883,0.1588573790874048
Kuwait,2013,0.2976898780122779,1.9035531757979643e-06,0.0637023105857066,0.707316194353865,0.15849271633144738
Moldova,2015,0.29653172585406745,1.120579544902695e-07,0.04411606663084364,0.6872466535752247,0.1582793460032602
Moldova,2016,0.2963989818119512,1.0776180288041889e-07,0.03914562063406771,0.6816978038805915,0.15815038871140133
Kyrgyz Republic,2007,0.29651451264232526,1.6110568536939703e-08,0.06655024180548091,0.7085052335741436,0.15804245767324934
Kuwait,2014,0.29678098571569145,1.8326666742354297e-06,0.07522837184309511,0.7166123191669519,0.15795580436967763
Kuwait,2012,0.2990697318743691,1.7793227917464516e-06,0.057254164427727024,0.6964166681679788,0.15774036359688315
Moldova,2019,0.29681508830762066,1.5501947058877536e-07,0.03670069854916712,0.6713387500675588,0.1566091966441757
Moldova,2014,0.29664682566895745,1.2781051039305497e-07,0.03559914024717894,0.6701316951015187,0.15657125744301892
